algoritmo,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
Insertion Sort,Crescente,100,10,6.530003156512976e-06,99.0,OK
Bubble Sort,Crescente,100,10,0.0001440299936803058,4950.0,OK
Merge Sort,Crescente,100,10,7.542000093962997e-05,356.0,OK
Heap Sort,Crescente,100,10,9.073999826796353e-05,1081.0,OK
Quick Sort,Crescente,100,10,0.00025215999921783804,4950.0,OK
Insertion Sort,Decrescente,100,10,0.00022692999918945135,4950.0,OK
Bubble Sort,Decrescente,100,10,0.0002780600014375523,4950.0,OK
Merge Sort,Decrescente,100,10,7.799999439157545e-05,316.0,OK
Heap Sort,Decrescente,100,10,7.504999812226742e-05,944.0,OK
Quick Sort,Decrescente,100,10,0.0001746499998262152,4950.0,OK
Insertion Sort,Aleatório,100,10,0.00012080000014975667,2705.0,OK
Bubble Sort,Aleatório,100,10,0.00022873000125400722,4950.0,OK
Merge Sort,Aleatório,100,10,8.05200048489496e-05,536.0,OK
Heap Sort,Aleatório,100,10,0.00011056999501306564,1017.0,OK
Quick Sort,Aleatório,100,10,5.565999308601022e-05,619.0,OK
Insertion Sort,Crescente,1000,10,0.00013164000411052256,999.0,OK
Bubble Sort,Crescente,1000,10,0.014846860003308393,499500.0,OK
Merge Sort,Crescente,1000,10,0.0009244100016076118,5044.0,OK
Heap Sort,Crescente,1000,10,0.0011680399940814823,17583.0,OK
Quick Sort,Crescente,1000,10,0.021581460000015797,499500.0,OK
Insertion Sort,Decrescente,1000,10,0.020897579996380956,499500.0,OK
Bubble Sort,Decrescente,1000,10,0.026805299997795372,499500.0,OK
Merge Sort,Decrescente,1000,10,0.0009419499983778223,4932.0,OK
Heap Sort,Decrescente,1000,10,0.0010452899965457617,15965.0,OK
Quick Sort,Decrescente,1000,10,0.01624176000477746,499500.0,OK
Insertion Sort,Aleatório,1000,10,0.0115071700012777,264487.0,OK
Bubble Sort,Aleatório,1000,10,0.024522549999528565,499500.0,OK
Merge Sort,Aleatório,1000,10,0.0011738199973478913,8715.0,OK
Heap Sort,Aleatório,1000,10,0.0011995399952866137,16826.0,OK
Quick Sort,Aleatório,1000,10,0.0005879199947230518,10825.0,OK
Insertion Sort,Crescente,5000,10,0.00032085000129882245,4999.0,OK
Bubble Sort,Crescente,5000,10,0.37767990000429563,12497500.0,OK
Merge Sort,Crescente,5000,10,0.006174449995160103,32004.0,OK
Heap Sort,Crescente,5000,10,0.008290829995530657,112126.0,OK
Quick Sort,Crescente,5000,10,0.5635955600038869,12497500.0,OK
Insertion Sort,Decrescente,5000,10,0.5438705400039907,12497500.0,OK
Bubble Sort,Decrescente,5000,10,0.7190514399961103,12497500.0,OK
Merge Sort,Decrescente,5000,10,0.005584189997171052,29804.0,OK
Heap Sort,Decrescente,5000,10,0.00687729999772273,103227.0,OK
Quick Sort,Decrescente,5000,10,0.39963113000267186,12497500.0,OK
Insertion Sort,Aleatório,5000,10,0.26649549000139816,6286686.0,OK
Bubble Sort,Aleatório,5000,10,0.5951080800005002,12497500.0,OK
Merge Sort,Aleatório,5000,10,0.006881190001149662,55369.0,OK
Heap Sort,Aleatório,5000,10,0.007910649996483698,107786.0,OK
Quick Sort,Aleatório,5000,10,0.0034366899984888733,68610.0,OK
