algoritmo,limite,tipo_entrada,tamanho,repeticoes,tempo_medio,comparacoes_medias,status
AOH Merge+Insertion,32,Decrescente,100000,3,0.1304611666710116,1769840.0,OK
AOH Merge+Insertion,64,Decrescente,100000,3,0.17358376667834818,2941040.0,OK
AOH Merge+Insertion,128,Decrescente,100000,3,0.26749683334492147,5332592.0,OK
AOH Merge+Insertion,16,Aleatório,100000,3,0.11916473331317927,1638150.0,OK
AOH Merge+Insertion,32,Aleatório,100000,3,0.12298866665999715,1861785.0,OK
AOH Merge+Insertion,64,Aleatório,100000,3,0.13990809999328727,2383839.0,OK
AOH Merge+Insertion,128,Aleatório,100000,3,0.18445950001478195,3513258.0,OK
AOH Merge+Insertion,16,Crescente,150000,3,0.14294876666584364,1187472.0,OK
AOH Merge+Insertion,32,Crescente,150000,3,0.12874399998690933,1119392.0,OK
AOH Merge+Insertion,64,Crescente,150000,3,0.11827773333061486,1047216.0,OK
AOH Merge+Insertion,128,Crescente,150000,3,0.10844153332679222,973488.0,OK
AOH Merge+Insertion,16,Decrescente,150000,3,0.17218816666475809,1658864.0,OK
AOH Merge+Insertion,32,Decrescente,150000,3,0.18739273335086182,2271584.0,OK
AOH Merge+Insertion,64,Decrescente,150000,3,0.23364893335383385,3570752.0,OK
AOH Merge+Insertion,128,Decrescente,150000,3,0.33901689999038354,6242816.0,OK
AOH Merge+Insertion,16,Aleatório,150000,3,0.19573136667410532,2478881.0,OK
AOH Merge+Insertion,32,Aleatório,150000,3,0.18713486668032905,2704674.0,OK
AOH Merge+Insertion,64,Aleatório,150000,3,0.20224963332293555,3259661.0,OK
AOH Merge+Insertion,128,Aleatório,150000,3,0.2487322999901759,4506415.0,OK
AOH Merge+Insertion,16,Crescente,200000,3,0.18812686666691056,1588032.0,OK
AOH Merge+Insertion,32,Crescente,200000,3,0.1705309666770821,1494528.0,OK
AOH Merge+Insertion,64,Crescente,200000,3,0.15564676667175567,1396928.0,OK
AOH Merge+Insertion,128,Crescente,200000,3,0.1443671000112469,1298624.0,OK
AOH Merge+Insertion,16,Decrescente,200000,3,0.23907630000030622,2517632.0,OK
AOH Merge+Insertion,32,Decrescente,200000,3,0.2713446666797002,3639680.0,OK
AOH Merge+Insertion,64,Decrescente,200000,3,0.35966096667107195,5982080.0,OK
AOH Merge+Insertion,128,Decrescente,200000,3,0.5541745666608525,10765184.0,OK
AOH Merge+Insertion,16,Aleatório,200000,3,0.25860639999154955,3479386.0,OK
AOH Merge+Insertion,32,Aleatório,200000,3,0.25924939999822527,3924872.0,OK
AOH Merge+Insertion,64,Aleatório,200000,3,0.29471690000112477,4970790.0,OK
AOH Merge+Insertion,128,Aleatório,200000,3,0.38118799998968217,7214490.0,OK
